,time,collisions,collision_type,x_joystick,y_joystick
0,0,0,0,0.0,0.0
0,0,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0,0.0
0,1,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.024444580078125,0.0029296875
0,2,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.024444580078125,0.0029296875
0,3,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.024444580078125,0.0029296875
0,4,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.024444580078125,0.0029296875
0,5,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.024444580078125,0.0029296875
0,6,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.024444580078125,0.0048828125
0,7,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.024444580078125,0.0126953125
0,8,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.024444580078125,0.0166015625
0,9,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.028350830078125,0.0205078125
0,10,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.028350830078125,0.0205078125
0,11,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.028350830078125,0.0185546875
0,12,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.026397705078125,0.0185546875
0,13,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.026397705078125,0.0185546875
0,14,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.026397705078125,0.0185546875
0,15,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.026397705078125,0.0205078125
0,16,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.026397705078125,0.0205078125
0,17,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.024444580078125,0.0224609375
0,18,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.024444580078125,0.0224609375
0,19,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.020538330078125,0.0205078125
0,20,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.002960205078125,0.0146484375
0,21,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.002960205078125,0.0107421875
0,22,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0126953125,0.0087890625
0,23,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.07525634765625,0.0087890625
0,24,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.173004150390625,0.0087890625
