,time,collisions,collision_type,x_joystick,y_joystick
0,0,0,0,0.0,0.0
0,0,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0,0.0
0,1,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.001007080078125,-0.012725830078125
0,2,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.001007080078125,-0.008819580078125
0,3,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.001007080078125,-0.002960205078125
0,4,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.001007080078125,-0.002960205078125
0,5,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.001007080078125,-0.002960205078125
0,6,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.001007080078125,-0.002960205078125
0,7,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.001007080078125,-0.002960205078125
0,8,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.001007080078125,-0.002960205078125
0,9,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.001007080078125,-0.002960205078125
0,10,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.001007080078125,-0.018585205078125
0,11,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.001007080078125,-0.022491455078125
0,12,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.001007080078125,-0.022491455078125
0,13,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.001007080078125,-0.022491455078125
0,14,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.001007080078125,-0.028350830078125
0,15,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.001007080078125,-0.03619384765625
0,16,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.001007080078125,-0.05181884765625
0,17,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.001007080078125,-0.05963134765625
0,18,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.001007080078125,-0.067474365234375
0,19,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.001007080078125,-0.071380615234375
0,20,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",-0.001007080078125,-0.075286865234375
0,21,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,-0.075286865234375
0,22,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0185546875,-0.075286865234375
0,23,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.032257080078125,-0.075286865234375
