,time,collisions,collision_type,x_joystick,y_joystick
0,0,0,0,0.0,0.0
0,0,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0,0.0
0,1,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0048828125,0.08306884765625
0,2,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0048828125,0.08306884765625
0,3,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0048828125,0.08306884765625
0,4,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0048828125,0.08306884765625
0,5,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0048828125,0.08697509765625
0,6,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0048828125,0.08892822265625
0,7,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0048828125,0.08892822265625
0,8,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0048828125,0.09283447265625
0,9,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0048828125,0.09283447265625
0,10,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0048828125,0.09088134765625
0,11,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0048828125,0.08697509765625
0,12,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0048828125,0.08306884765625
0,13,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0048828125,0.07720947265625
0,14,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0048828125,0.07330322265625
0,15,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0048828125,0.06549072265625
0,16,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0048828125,0.057647705078125
0,17,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0048828125,0.040069580078125
0,18,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0048828125,0.0302734375
0,19,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0048828125,0.0302734375
0,20,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0048828125,0.0263671875
0,21,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0029296875,0.0263671875
0,22,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0048828125,0.032257080078125
0,23,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0107421875,0.047882080078125
0,24,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0166015625,0.051788330078125
0,25,0,"{'top': False, 'bottom': False, 'right': False, 'left': False}",0.0224609375,0.057647705078125
